评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
2,一般上完隔离 干皮的话其实不需要定妆了！ 另外，散粉和定妆喷雾都是定妆的 如果你皮肤比较干的话 怕卡粉掉皮就用定妆喷雾喷全脸 等晾干就很牢固了,上海,,2022-07-31 22:23:40,60,False
2,我和姐妹的是一样，不干的季节只有夏天。根据我的经验，要想脸不干，只有先好好护肤，不是说把妆前的护肤做到位就行，一定要平时就好好补水，让皮肤的状态变好。我敷面膜比较少，一般晚上就是水精华面霜，早上是水精华，面霜涂一点在最容易干的地方，就会好一些，而且我每次涂脸的时间比较长，不是水拍上就马上涂精华，而是用手拍一拍，按摩一下，再进行下一步，姐妹看一下，不知道对你有没有帮助,湖北,,2022-09-25 10:09:26,43,False
2,我告诉你，不用洗面奶，然后多点玫瑰纯露水敷，晚上用完补水喷雾后用pmpm的玫瑰精油，最后搽你觉得补水的面霜，我用国产那个鲜奶霜,广东,,2022-10-06 17:50:09,9,False
2,这真是个老品牌了，我上大学的时候就有了，一直用到现在真的不错,,女,2022-07-08 18:21:24,401,True
2,我大学也用，旧版有1..干，新版更好用点[脱单doge],上海,,2022-07-26 13:51:30,3,False
2,顶真吗,广东,男,2022-09-28 10:50:21,0,False
2,油皮可吗,辽宁,,2022-07-30 19:40:21,0,False
2,涂上真的不会假白吗，我最看重这点了！我看视频中好像不会！！有没有用过的，回复一下！,,男,2022-07-08 17:17:04,289,True
2,我现在都是买这个了，早上简单涂一下就看起来不会那么暗沉没气色了,,,2022-07-13 13:54:40,20,False
2,一直用，买了三只快用完第二只了，我觉得很方便，一般抹完水乳，涂个防晒，再涂个这个隔离就OK了,河北,,2022-07-31 20:24:55,15,False
2,不会不会，我皮肤暗黄，买的紫色的不假白[脸红],,,2022-07-23 21:59:57,14,False
2,已经下单了，等到了我试试看效果怎么样，不好用的话看我怎么喷你！[妙啊],江苏,男,2022-07-30 21:41:09,188,True
2,今天用着去上班不错！我是油皮，涂脸上是那种自然的白，然后不油，我同事都跟我问链接了！,江苏,男,2022-08-01 15:20:50,19,False
2,同问,四川,,2022-10-03 17:50:31,1,False
2,回复 @绫小路帆波 :油皮会暗沉吗？顺便求推一下散粉[橘猫_想你],广西,,2022-08-08 19:43:16,1,False
2,糟了，以后看起来像素颜的也不一定真实了,,,2022-07-23 17:29:19,158,True
2,有点小心机又何妨？[妙啊],,,2022-07-23 18:50:41,32,False
2,这就破防了哈哈,江苏,,2022-11-30 09:15:06,18,False
2,反正大家都不真实,广东,,2022-10-22 07:09:39,9,False
2,这四种颜色的成分是不是都是差不多的，就是不同肤质选择的问题是吗,,,2022-07-08 18:24:45,158,True
2,对的，绿色可以遮盖长痘泛红的皮肤，紫色适合暗黄的皮肤，白色和粉色适合没有什么皮肤问题，想要均匀肤色的姐妹！,上海,,2022-07-26 13:50:44,36,False
2,回复 @B62星球的那个男孩 :先隔离再遮瑕吧,山西,女,2022-09-24 20:49:17,1,False
2,回复 @汤汤脸不圆 :请问如果有黑眼圈是先遮暇再用紫色吗,吉林,女,2022-09-18 11:05:50,0,False
2,"【一支等于防晒➕素颜霜➕隔离的懒人神器】在这里👉🏻https://b23.tv/mall-i8GMo-j1ItnE1G9Q  单支装69-5元券，券后💰64元！拍双支到手直接59元/支！
赠品：拍单支装送同色隔离中样5g*1
单拍双支装送美妆蛋（颜色款式随机）*1
限时限量，宝贝们快冲！！！",湖南,,2023-01-14 12:39:11,142,True
2,【选色不迷路】泛红敏敏皮选绿色、暗黄不均选紫色、干燥无光选粉色、无暇肌选白色,湖南,,2023-01-14 12:39:39,3,False
2,不止要隔离霜，还要洗脸的，口红，保湿，这些全都要啊,浙江,,2023-02-16 11:20:30,1,False
2,现在新版隔离上市！配方升级！更防晒更保湿！性价比更高！快来尝试吧~,湖南,,2023-01-14 12:39:57,1,False
2,大数据杀我！我正好要买隔离！不挑了，就这个吧,,女,2022-07-09 07:11:21,49,True
2,别买 滋色牌子不好 闷痘 问就是我之前买了 还用了很久,重庆,,2023-05-31 23:45:20,1,False
2,"快速早八妆
一:基础版
00:23 za润色隔离

紫色:提亮暗黄肤色
01:05 眉毛和口红

二:进阶版
01:46 定妆
粉饼
眼影
口红",未知,,2022-10-26 08:56:02,45,True
2,脸真的变白吗？有点像是开美颜了[doge],江苏,男,2022-07-29 21:31:39,44,True
2,变白，但是我感觉白色款好用些诶，紫色款我用起来有点假白[微笑]当然不排除是因为最近晒黑了好多,四川,,2022-08-07 14:30:51,7,False
2,我用这个真的挺自然的 就是白一丢丢 然后肤色提亮 我觉得还是挺好的（我黄皮,广东,女,2022-08-07 10:48:25,7,False
2,我和我妈一直用这个，我都空管了三支了，本来就很好用,安徽,,2022-12-15 12:19:32,0,False
2,想问口红💄,,女,2022-07-21 12:33:15,41,True
2,口红是mac316 唇釉是unny606,,,2022-07-21 16:29:54,7,False
2,up ，眼镜有链接吗,广东,,2023-03-09 16:41:09,0,False
2,别赞我了[保佑],福建,女,2022-11-04 22:16:11,0,False
2,你你你你你皱眉可不可以不要这么严重啦，呜呜不好的啦,广东,,2022-07-29 13:11:45,34,True
2,呜呜呜呜我忍不住！！,上海,,2022-07-29 17:27:41,1,False
2,的确表情纹，很老火，还是要注意,重庆,,2022-12-15 17:54:55,0,False
2,有没有脸上有痘印泛红的姐妹用过这个！！想买有点犹豫了！,上海,,2022-07-28 11:22:16,32,True
2,泛红路过。经典粉色和绿色都用过，个人感觉绿色上脸更白，有一定修正效果。但是泛红如果真的要遮，还是需要粉底液或者遮瑕的，质的飞跃。单用的话就是白一些，略微修正，整体清透。如果面见重要的人，单单上这款是不够的。（肤质巨无暇的忽略我～）,上海,,2022-09-12 11:00:56,16,False
2,蹲,广东,,2022-08-11 11:16:02,0,False
2,蹲,广东,女,2022-08-10 15:54:27,0,False
2,虽然我知道这个视频是广告，但的确这个隔离是可以的,浙江,,2022-09-07 13:41:04,30,True
2,我感觉这是个广告，可是评论里说好的居然都是五级号诶，有.心动,山西,女,2022-09-27 14:41:48,9,False
2,回复 @刺儿钉仔 :然后我就买了，挺好推开的，日常速涂就能出门确实很nice，但是用了两次后就开始长闭口🤔不知道是这个的问题还是洗面奶的问题还是作息问题，反正之后就没有再化妆了，想着先让脸恢复恢复,山西,女,2022-10-14 09:07:34,3,False
2,回复 @南萧找不着北 :对对对 好心动 而且就算评论可能也有那个啥 但往下翻翻好像风评还行,河南,女,2022-10-02 10:06:09,3,False
3,妈呀我用这个三年了 感觉都没啥人知道 真的很好用 绝了,,女,2022-07-20 16:11:53,25,True
3,回复 @dramatic笑 :我甚至觉得过半个小时就暗沉了[委屈],湖南,,2023-01-05 21:27:36,4,False
3,可是氧化很快耶 我用完很快暗沉,广东,,2023-01-05 09:37:10,4,False
3,回复 @dramatic笑 :我也觉得，如果只用这个隔离的话，很快就暗沉了,湖南,,2023-01-05 21:27:01,2,False
3,真的服了刚打开b站就消费了115,内蒙古,女,2022-09-23 16:42:52,20,True
3,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,上海,,2022-09-23 17:23:36,0,False
3,[大哭][大哭][大哭],内蒙古,女,2022-09-23 16:43:04,0,False
3,太麻烦了，直接带个面具出门更快,广东,,2022-12-29 17:43:32,19,True
3,昨天惹了女朋友生气，打算给她买点化妆品赔罪，这个隔离已经加入购物车了，希望她能开心不生气,,女,2022-07-08 18:21:21,19,True
3,先看看她的皮肤适合哪个再买，别又惹她生气了[脱单doge],,,2022-07-14 11:34:33,6,False
3,感觉可以让我女朋友搞个简单点的装出门了，不用每天背包里装的什么都有了,,男,2022-07-22 23:00:38,1,False
3,这个才是真的三分钟解决没有标题党啊，别的标题说五分钟出门，懒人必看一进去又是遮瑕又是睫毛又是眼线这一套下来怎么也不可能五分钟了,浙江,,2022-10-07 14:33:31,18,True
3,之前有姐妹跟我推荐过！但是我当时还没用完原来的就忘掉了，刷到这个视频唤醒了我的记忆,,,2022-07-08 17:08:46,16,True
3,回复 @汤汤脸不圆 :救命 我沉睡的回忆又活了！我已经放弃了好几年的隔离，忽然又想买了 哈哈哈哈哈哈关键还便宜[打call],广东,,2022-11-16 10:08:37,0,False
3,好也推给了我的好几个姐妹！,,,2022-07-09 14:30:15,0,False
3,"【一支等于防晒➕素颜霜➕隔离的懒人神器】在这里👉🏻https://b23.tv/mall-i8GMo-j1ItnE1G9Q  拍1支装，到手价59.16/支；拍2支装，到手价108.75/2支，均价54.37/支！
赠品：
拍1支：送新款同色隔离中样4g*1
拍2支：送新款同色隔离中样4g*2+美妆蛋×1
拍3支：送新款同色隔离中样4g*3+芯肌EX洁面膏30g*1
宝贝们，限时限量，快来薅羊毛啦！",湖南,,2023-03-05 12:42:51,13,True
3,现在新版隔离上市！配方升级！更防晒更保湿！性价比更高！快来尝试吧~,湖南,,2023-03-05 12:44:24,0,False
3,【选色不迷路】泛红敏敏皮选绿色、暗黄不均选紫色、干燥无光选粉色、无暇肌选白色！,湖南,,2023-03-05 12:44:09,0,False
3,求一个粉底!up涂完好美,,,2022-07-22 12:39:53,11,True
3,欧莱雅的AGE PERFECT,,,2022-07-22 14:09:07,7,False
3,回复 @汤汤汤美少女 :是代购店铺买的哦 美版的一个粉底,上海,,2022-10-01 23:58:35,1,False
3,回复 @汤汤脸不圆 :可以麻烦分享一下吗,湖南,女,2022-10-02 00:36:46,0,False
3,34早都不算高温，我们41,,,2022-07-09 23:59:38,11,True
3,听着都呼吸困难了[囧],,,2022-07-10 01:37:55,1,False
3,up主用的粉底是什么,,,2022-07-09 21:36:53,11,True
3,欧莱雅的AGE PERFECT,,,2022-07-22 22:28:20,3,False
3,回复 @汤汤脸不圆 :想知道up用的哪个色,广东,,2022-08-24 11:23:35,0,False
3,回覆 @汤汤脸不圆 :这个有木有劵呢,河南,,2022-08-22 15:20:00,0,False
3,刚刚下单了，用完给姐妹们反馈[tv_坏笑],上海,女,2022-07-28 11:27:47,9,True
3,姐妹感觉怎么样!,贵州,,2022-09-04 15:06:32,1,False
3,回复 @幽兰拿铁多点糖 :好嘞!谢谢姐妹!,贵州,,2022-09-06 00:47:17,0,False
3,回复 @秋秋aaaaaaaaaaaaaa :值得推荐,上海,女,2022-09-05 21:39:16,0,False
3,平时上班太早我都不化妆的，看完感觉确实不错，搭个口红气色好多了,,,2022-07-20 15:46:43,9,True
3,嗯嗯 单涂口红脸会有点黑[囧],,,2022-07-20 15:48:46,0,False
3,喜欢你的口红，口红是什么？,,,2022-07-22 11:11:12,8,True
3,口红是mac316 唇釉是unny606,,,2022-07-22 13:48:45,0,False
3,蹲个反馈！真的买过的来,,女,2022-07-08 18:41:55,8,True
3,有，干皮黄皮微泛红，买的紫色，就…该红红，肤色该不均的地方还是不均，不再上粉底的话基本和没化妆差别不大，还有妆感，也不怎么润,四川,女,2022-10-16 23:31:56,1,False
3,隔离 素颜霜 我还没有到过黑黄皮能用出来改善一些皮肤状态的，这个我也买了[保卫萝卜_哭哭],河南,女,2022-08-20 14:37:06,1,False
3,第一次刷到up主，不过我用了五六支了，便宜好用不假白[脱单doge][脱单doge][脱单doge]姐妹，可以冲，一直用的白色款，最近在用紫色款，感觉紫色有点假面,四川,,2022-08-07 14:29:32,1,False
3,我懂了，像我们这种打工人，脸上带黑眼圈的，化妆的时候可以直接当做眼影，就不用画眼影了[妙啊],湖北,,2023-03-06 19:50:07,7,True
3,哈哈哈哈哈哈哈哈哈哈哈哈没错！,上海,,2023-03-06 20:52:53,0,False
3,等等，今夕是何年[微笑],山东,,2022-12-14 19:11:56,7,True
3,这个真的很好用！！！！！！！！！我用完了两只了！！！！激情购买了三只[妙啊]真的 谁懂 第一次这么喜欢一个产品[大哭],广东,女,2022-08-03 22:10:42,7,True
3,za以前的透明指甲油真的很好用，四十多一支，涂一层指甲非常的健康，就是前几年整个线停产了……,四川,,2022-07-29 20:59:50,6,True
3,这个夏天出汗会流白色的汗吗姐妹们！！,上海,,2022-07-28 11:21:53,6,True
3,会，我买了紫色和绿色，都会留白汗裂开,湖北,女,2022-09-26 00:08:00,0,False
3,所以眼影用的什么颜色呀,浙江,,2022-09-23 20:35:41,5,True
4,不用定妆吗,,男,2022-07-21 12:11:29,5,True
4,因为我是干皮所以就没定 如果你是油皮可以用粉饼定一下,,,2022-07-21 16:30:37,0,False
4,果然上脸之后显的气色好了很多,,女,2022-07-08 18:47:38,5,True
4,我想问问你是什么肤色呀，我是黄皮，本想买紫色的，可是看评论说紫色不怎么好用，有点纠结,广东,,2022-10-06 01:25:48,0,False
4,18度，但是零下,黑龙江,,2022-12-15 17:39:54,4,True
4,化妆小白[脸红]是不是补水擦完面霜之后就涂隔离？,黑龙江,,2022-10-01 12:07:01,4,True
4,对的呀,上海,,2022-10-01 12:16:07,0,False
4,不得不说啊 这个隔离是真的好用 平时我直接当素颜霜用呢 上妆也是很精致 加散粉持妆一整天没啥问题[妙啊],广西,女,2022-08-16 19:42:58,4,True
4,大学被室友种草了旧版，新版更好用！！！,重庆,,2022-07-27 19:38:21,4,True
4,对吧 我们以前寝室6个人3个都用这个！,上海,,2022-07-27 19:44:25,0,False
4,一直都想知道，又泛红又暗黄的，该怎么办[捂脸],,女,2022-07-23 19:17:13,4,True
4,其实买单只绿色的就好啦 一样有提亮效果的,,,2022-07-23 19:21:13,1,False
4,回复 @汤汤脸不圆 :好～❤ (ɔˆз(ˆ⌣ˆc),,女,2022-07-24 10:44:50,0,False
4,现在出门戴口罩真的懒了很多，还是社恐的好物，戴口罩出门啥都不怕了[doge],,男,2022-07-23 15:59:40,4,True
4,不过有的时候要脱掉口罩 涂个隔离也会看起来好点[妙啊],,,2022-07-23 18:51:43,0,False
4,我一大老爷们的为啥就点进来了呢，你说奇不奇怪,,男,2022-07-22 22:55:39,4,True
4,大老爷们不会还看完了吧！[妙啊],,,2022-07-22 23:09:05,1,False
4,我一个男的为啥就点进来了呢，看也看不懂[doge],,男,2022-07-21 21:31:07,4,True
4,提前做一下功课 有女朋友可以送[doge],,,2022-07-21 22:13:36,0,False
4,虽然但是，紫色像我这种小黑人能用吗？[doge],,女,2022-07-20 16:16:30,4,True
4,可以的 记得涂一下脖子哦！,,,2022-07-20 19:02:31,0,False
4,初阶版的难道不用定妆吗?,,男,2022-07-15 10:25:49,4,True
4,回复 @汤汤脸不圆 :好的,,男,2022-07-15 14:08:22,0,False
4,因为我是沙漠大干皮  所以用这个我不定妆 油皮可以定一下~,,,2022-07-15 11:50:08,0,False
4,只有34℃，好凉快啊,,女,2022-07-14 23:46:21,4,True
4,呜呜呜那是我月初拍的 现在上海已经41度了,,,2022-07-15 00:06:00,0,False
4,化妆？公司的男士让我没有洗脸的欲望[吃瓜],北京,,2023-04-18 01:13:49,3,True
4,我怎么会在2023年刷到[思考],浙江,女,2023-01-07 23:31:50,3,True
4,今夕是何年？,江苏,男,2022-12-29 17:39:46,3,True
4,！！！这才是真实的早八妆。,广东,女,2022-10-03 09:14:26,3,True
4,没有帅哥直接素颜戴口罩哈哈哈哈,广东,,2022-09-28 23:08:45,3,True
4,这素颜和化妆完全2个人[笑哭],安徽,,2022-09-25 20:40:37,3,True
4,这不是化妆，这是易容术,黑龙江,男,2022-09-25 09:18:16,3,True
5,up有点像松本润耶，[脱单doge]演过日版花美男道明寺，还有小律师[脱单doge],广东,,2022-08-24 20:24:03,3,True
5,小汤几～俺来啦[嘟嘟][嘟嘟][嘟嘟],,,2022-07-22 18:05:49,3,True
5,还要擦防晒吗,,,2022-07-20 23:23:57,3,True
5,谢谢[星星眼],,,2022-07-21 05:00:55,0,False
5,可以不用了 这里面自带防晒值,,,2022-07-21 00:13:01,0,False
5,我们这37，空调不太得劲，室内33度，人要没了,,,2022-07-14 11:53:31,3,True
5,上海41度了！！谁来管管地球,,,2022-07-14 20:05:39,0,False
5,之前跟着博主买的痛经仪！到了！真的好用！我就跟着你买了！！我信你！,,,2022-07-09 07:07:25,3,True
5,有没有买过的姐妹，真的好用吗[喜极而泣],广西,女,2023-03-01 13:57:22,2,True
5,一开始涂了感觉很白我还嫌弃了一下的[笑哭]结果真香了[笑哭],湖南,女,2023-04-17 19:20:36,0,False
